id,original_filename,categorie,confidence,metoda_clasificare,processing_status,review_status,companie,material,data_expirare,producator,adresa_producator,extraction_model,extraction_status
3288,A13__L4_0276_AB_26.02.26_teava PEID si fitinguri_ producatorfurnizor -  Valrom Industrie SRL.pdf,ALTELE,0.85,ai,completed,OK,TECNIC,Teava PEID si fitinguri,26.02.2026,VALROM INDUSTRIE SRL,"Str. loan Voda Caragea nr. 1, sector 1, București",vision:gemini-2.0-flash,success
3289,1. FT PEHD.pdf,FISA_TEHNICA,0.98,filename+text_agree,completed,OK,TEHNO WORLD SRL,"Teava din polietilena de inalta densitate PE112, PE100, PE100RC, PE80 conform EN 12201-2:2024, ISO 4427:2019, DIN 8074:2011",,,"Localitatea Baia, nr. 1616, DN2E km 2, judetul Suceava, ROMÂNIA, 727020",vision:gemini-2.0-flash,success
3290,2. FT FITINGURI.pdf,FISA_TEHNICA,0.99,filename+text_agree,completed,OK,TEHNO WORLD SRL,"Fitinguri segmentate polietilena de inalta densitate (PEHD), diverse dimensiuni, conform EN 12201-3",,,"S.C TehnoWorld SRL
Loc. Dumbrava Rosie DN2E km 2
Jud. Suceava, RO 727020",vision:gemini-2.0-flash,success
3291,2. ISO 9001.pdf,ISO,0.99,filename+text_agree,completed,OK,TEHNO WORLD SRL,,31.08.2028,,"Baia nr. 1616, DN 2 E- km 2, 727030 Baia, jud. Suceava, România",vision:gemini-2.0-flash,success
3292,3. ISO 14001.pdf,ISO,0.99,filename+text_agree,completed,OK,TEHNO WORLD SRL,,31.08.2028,,"Baia nr. 1616, DN 2 E- km 2 727030 Baia, jud. Suceava România",vision:gemini-2.0-flash,success
3293,4. ISO 45001.pdf,ISO,0.99,filename+text_agree,completed,OK,TEHNO WORLD SRL,,02.09.2028,,"Baia nr. 1616, DN 2 E- km 2, 727030 Baia, jud. Suceava, România",vision:gemini-2.0-flash,success
3294,5. AVT.pdf,AVIZ_TEHNIC,0.90,filename_wins,completed,OK,AXA-CERT SRL,Țevi și fitinguri din PEID pentru instalații de apă,27.06.2026,TEHNO WORLD SRL,"Loc. Baia, nr.1616, DN 2E Km 2, jud. Suceava",vision:gemini-2.0-flash,success
3295,6. AGT.pdf,AGREMENT,0.98,filename+text_agree,completed,OK,TEHNO WORLD SRL,Țevi și fitinguri din PEID pentru instalații de apă,27.06.2027,,"Loc. Baia, nr. 1616, DN 2E Km 2, jud. Suceava",vision:gemini-2.0-flash,success
3296,7. AVS.pdf,AVIZ_SANITAR,0.99,filename+text_agree,completed,OK,TEHNO WORLD SRL,"Țevi monostrat/multistrat și fitinguri din polietilenă de înaltă densitate PE80, PE100, PE100RC, PE112, DN 20-1200 mm",28.05.2029,,"Sat Baia, comuna Baia, nr. 1616, jud. Suceava",vision:gemini-2.0-flash,success
3297,8. DC.pdf,DECLARATIE_CONFORMITATE,0.98,filename+text_agree,completed,OK,TEHNO WORLD SRL,TEVI DIN POLIETILENA DE INALTA DENSITATE PENTRU INSTALATII DE APA,,,"S.C TEHNO WORLD S.R.L., Loc. Baia nr. 1616, jud. Suceava - România",vision:gemini-2.0-flash,success
3298,9. CC.pdf,CERTIFICAT_CALITATE,0.98,filename+text_agree,completed,OK,TEHNO WORLD SRL,"PE100, executat dupa EN I 12201-2",,,"Loc. Baia, nr. 1616, DN2E km 2, Jud. Suceava, RO-727020",vision:gemini-2.0-flash,success
3299,2024-04-25-P1R0519_Valrom_A_2024_ro-_extsigned.pdf,CERTIFICAT_CALITATE,0.95,ai,completed,OK,VALROM INDUSTRIE SRL,"Țevi de presiune din polietilenă pentru apă potabilă - PE 80, PE 100, PE 100-RC, dimensiunea la 63 mm",25.04.2024,,"Bdul. Preciziei, nr 28, sector 6 062204 Bucuresti ROMÂNIA",vision:gemini-2.0-flash,success
3300,6. AVS.pdf,AVIZ_SANITAR,0.99,filename+text_agree,completed,OK,VALROM INDUSTRIE SRL,"Țevi și fitinguri VALROM din PE 100 BorSafe HE3490-LS, de culoare neagră cu dungi de reper albastre, țevi cu DN 20-1200 mm",,,"București, Sector 6, B-dul Preciziei Nr.28, România",vision:gemini-2.0-flash,success
3301,7. AVS RC.pdf,AVIZ_SANITAR,0.99,filename+text_agree,completed,OK,VALROM INDUSTRIE SRL,"Țevi și fitinguri VALROM din PE 100RC BorSafe HE3490-LS-H, de culoare neagră cu dungi de reper albastre, țevi cu DN 20 - 1200 mm",20.05.2025,,"București, Sector 6, B-dul Preciziei Nr. 28",vision:gemini-2.0-flash,success
